Household_ID,n_days,mae_rf,rmse_rf,mae_naive1,mae_signature,mase_rf,bias_rf,tail_ratio,hdd_slope,rf_beats_naive
1191127,245,16.867722710908815,21.23333944388048,20.579469387755108,15.12893426768494,0.9709788212791547,0.802431171416745,1.2588148268615007,-0.08511422412332752,True
119498,245,5.149042994782337,6.81958889324265,5.825183673469387,8.551502269024638,0.9229253560553206,0.9153456279995944,1.3244381334848285,-0.026999862529684913,True
120701,245,2.501836216963969,3.2381933207866798,2.733755102040816,3.107723421061873,0.8853261437263759,-0.395513599510674,1.294326662484843,-0.00847281103114109,True
121887,245,4.773869176562447,6.211616797844313,5.469714285714286,5.328330784545451,0.9144144683060951,-0.45634083005402315,1.301170301930468,-0.03273600974349249,True
122671,245,7.428220334528844,10.445218829394035,7.378653061224489,12.377232598694619,0.9422689642108469,2.9501453644960156,1.4061536086700575,0.3520481366761818,False
412211,169,8.256963145835462,11.293195136222081,8.383076923076922,16.730013497786224,1.7536809964570574,2.0422727627021007,1.3677177597574715,-0.05944018853969278,True
417510,245,4.554978883211728,6.420611967693444,4.977061224489796,5.111086942041977,0.9145704774187591,-0.8521685700565,1.4095810611456123,-0.1018167167383634,True
4710670,245,4.821243422178969,7.794533346329568,4.444122448979591,6.481546452634287,1.3314128527726599,0.37038141463538476,1.616706036968118,0.22247208391437745,False
477661,245,4.041611136342238,5.586798105580085,4.728367346938776,6.455708749636304,0.9148980514692497,-0.214397532363027,1.3823195545319784,0.025682047291730657,True
5769106,245,3.7089293928903846,4.647055518798111,4.506163265306123,4.730690418410269,0.6755402550474572,-0.6402717399873605,1.2529371758076637,-0.09587837094237465,True
5845834,245,8.452193897247346,11.453539130279179,9.249632653061221,8.272378995182816,1.022317511604633,-0.5781578388781229,1.3550965902485141,-0.168492792271466,True
611629,245,5.4095115274593875,6.83181536041581,6.200571428571429,5.090167842856769,0.818380281224553,-0.3183419747296324,1.2629264815753922,0.04302673612018065,True
6683113,245,3.3153387917383803,4.9630329955085655,3.3585306122448984,4.4884906313601665,1.1109586893974799,-0.03944836059304692,1.4969911997760643,0.048412196642311764,True
669010,245,6.9048035966925,9.974170679563455,7.35595918367347,9.079779696634684,0.864419054924583,1.6492034288268471,1.4445263416820757,-0.0068945640632648835,True
6773102,245,5.306537129869364,7.242474654859741,5.878938775510204,6.6490901939371145,0.9599407486006784,0.6398483387883082,1.364821253033998,0.08423900906794608,True
6901131,245,5.611956418858583,7.48879056249264,6.21534693877551,7.425389837678172,1.0294402487030143,0.4427553736304429,1.3344349106716311,0.058140683825365094,True
698983,228,5.10862024852404,7.082847105977665,5.625745614035088,9.746310623384563,0.9930720811415034,0.662171463615194,1.3864501100906865,0.22047315906382142,True
699801,245,4.300699389334323,6.275638065319099,4.4459591836734695,11.233835919811112,0.9008289470379164,0.7544831408849515,1.4592133737323278,0.11443372510884328,True
7048688,245,3.824043360164842,5.329065731584274,3.3723673469387756,6.753005542643005,1.494463182596421,-1.7366336361319963,1.3935683332195676,-0.05472128103825853,False
7146661,245,4.745957917389184,6.539793500579922,5.25930612244898,8.217030369559197,1.2965671920233284,-0.7620867819551155,1.3779712366639676,-0.09698354603039984,True
7211010,245,7.007687229573346,9.110243448095156,8.435061224489797,11.454491440871863,1.255754198034618,0.7860431738463995,1.300035682193228,0.038809765954098754,True
727690,245,3.7049521594416497,4.867359164574069,3.678244897959184,5.30548140118685,1.0817597295037489,0.161248084120663,1.313744133556531,0.07289061158032747,False
728210,245,5.228773800976883,7.54207144820053,4.853551020408163,5.27953176985562,2.264300268328259,-1.8198209334634765,1.44241685245429,0.013665111640416647,False
731027,78,6.237278217546016,7.403564281191833,6.534102564102564,7.498393341138264,1.324723882925754,-0.28566877334850294,1.186986378187356,0.024763928055725835,True
7474976,245,4.147976696750481,5.949860170910211,4.4317142857142855,8.205971759860335,0.6392125227781306,0.25175340799973855,1.4344005778941145,0.1235741076722196,True
751108,245,4.355316152128122,6.365936609567277,4.280326530612244,6.936514759615751,0.6899170564606316,0.5198343902191193,1.4616474182836792,0.015429971296640534,False
758039,94,5.144469678403328,6.53452778323967,5.197872340425532,11.257986257023939,1.0926243162918494,1.0127585603798317,1.2702043537493974,0.1122282075643468,True
7646451,245,3.379328328862533,4.549214782607801,3.403551020408164,5.372553214755606,1.2470280343235107,-1.0511559689890864,1.3461890470225621,-0.03834638754055637,True
767371,245,3.5667262295830593,5.353668680962289,3.921836734693877,4.512105246899734,0.8742289621393969,-1.0213471128772902,1.501003535555382,-0.007911729066498138,True
768113,140,8.253907797241391,11.058928321954703,8.605357142857143,21.25301280918067,1.753032076669923,-2.1325616741092284,1.3398415143007536,0.2548739427194271,True
7747482,245,3.055225345166596,4.263083422189745,3.150897959183674,4.408025131424901,0.9220150645351308,-0.3250185572971155,1.395341731153807,0.03956794768062271,True
801031,245,4.4663361171968186,6.458178021939369,4.705306122448979,5.597774012451626,0.9592939923059278,-0.1307200084694524,1.445967758018328,0.046299940822093655,True
808410,240,3.3512757073219706,4.674118014730256,3.2776666666666667,4.179379844025188,1.0248445441377592,-0.6912446305516318,1.3947279850828445,-0.005994211422134146,False
8087988,68,2.967004302685276,3.8646592418477566,3.2041176470588235,4.270782767906828,0.5918214484980295,0.1580567949034807,1.302545883856677,-0.05470170266616661,True
816571,245,4.119221700103804,5.455229901354323,4.31995918367347,5.650073577121586,0.8957017319476933,-0.9139156889615692,1.3243351046671878,-0.06818022351929533,True
826780,245,5.245314050072713,8.228855574381983,5.358448979591835,9.94454721404945,1.3437797264193594,-1.764376422564628,1.5688013140543817,-0.041624624736370616,True
841211,54,10.916426452797053,14.876167499023591,13.287777777777777,10.417749993874668,2.3185194461170484,0.9104351783092918,1.3627323523268877,0.6865523340035826,True
861116,245,2.9130261644226456,4.040360621849197,3.1302857142857134,5.205759857522424,0.7962013089079492,-0.5229428008144105,1.3869977109010918,-0.08070417945551012,True
8612210,245,6.700250602841814,9.224560171954606,6.879918367346939,9.155357885565984,0.9664401407636708,-0.39497241805545447,1.376748530576176,0.18099868724097673,True
865116,245,4.4410554981502,6.716211709963195,4.92861224489796,6.199382765045874,1.1399908604081577,0.410382657900739,1.512300783622418,0.0058953306701896545,True
8773113,245,3.812250489550872,5.578036003149935,3.887102040816326,9.196964137762793,0.8058816709525419,-0.3219165480922087,1.4631871694787542,0.04024066925438392,True
877881,144,9.125339099891276,14.339680773718154,10.036388888888887,10.504196766189622,1.9381137450973402,1.4603574686352285,1.5714134693240063,0.22842404200538705,True
896968,245,3.475255989668467,4.980649057881137,3.1766938775510205,7.013277924335556,1.383344817643148,-1.2485646108667634,1.4331747280453666,0.03324039174855694,False
9073879,245,3.265591383980943,4.347025672898906,3.616816326530613,3.792082789994818,1.0532171751532935,-0.410232447329261,1.3311603203704048,-0.033287555173094,True
9097838,245,4.392319636601334,6.5069631300855,4.520571428571429,6.7501022871756575,1.0680875622536243,-0.7671275633878953,1.481441167410217,0.025969491399581355,True
970979,245,5.940378689197132,8.18008433607448,6.988938775510204,11.427219297277826,1.1566394939102038,-0.1422940153471546,1.3770307860928732,0.10780030703505622,True
9981041,245,3.5701128087621137,4.847859748813346,3.5353469387755094,4.822033756166347,0.9287494299589267,0.596447815368722,1.357900998790644,0.13060297039830487,False
